DEPARTURE_ARRIVAL_DURATION,ARRIVAL_DEPARTURE_DURATION,STOPOVERS,VESSEL_TYPE,HULL_MATERIAL,VESSEL_LENGTH,VESSEL_BEAN,VESSEL_DRAFT,VESSEL_DEPTH,MOTOR_POWER,SPEED,NUM_PROPELLERS,NUM_GENERATORS,TPB,LIGHT_DISPLACEMENT,CREW,PASS_CAPACITY,LOAD_CAPACITY,FUEL_CONSUMPTION
1440.0,1440.0,2,MOTORBOAT,NAVAL_STEEL,25.6,6.3,1.8,2.2,315.0,18.0,1,2.0,,,2,90.0,0.0,5000.0
1440.0,1440.0,2,MOTORBOAT,NAVAL_STEEL,24.89,6.3,1.4,2.3,550.0,18.0,1,2.0,,,2,90.0,0.0,5000.0
28800.0,28800.0,2,MOTORBOAT,NAVAL_STEEL,24.9,4.04,1.2,1.38,600.0,32.0,2,1.0,,,3,120.0,0.0,4000.0
25200.0,25200.0,1,MOTORBOAT,ALUMINIUM,21.0,4.2,0.8,1.2,360.0,22.0,2,1.0,,,4,100.0,0.0,1600.0
18000.0,18000.0,1,MOTORBOAT,ALUMINIUM,25.0,6.4,1.8,2.4,370.0,15.0,1,1.0,,,6,84.0,0.0,2000.0
43200.0,43200.0,3,MOTORBOAT,ALUMINIUM,21.0,4.0,0.9,1.6,600.0,25.0,1,1.0,,,3,67.0,0.0,1600.0
2700.0,2700.0,3,PASSENGER/GENERAL_LOAD,WOOD,37.0,8.0,1.8,3.0,550.0,18.0,3,3.0,,,7,170.0,270.0,4000.0
7200.0,7200.0,0,MOTORBOAT,ALUMINIUM,17.0,3.0,1.0,1.3,477.0,30.0,1,1.0,,,2,57.0,0.0,440.0
28800.0,28800.0,2,MOTORBOAT,ALUMINIUM,20.0,3.5,1.0,3.0,464.0,30.0,1,1.0,,,3,48.0,0.0,1000.0
2160.0,2160.0,3,PASSENGER/GENERAL_LOAD,WOOD,26.2,6.41,1.6,2.25,550.0,12.0,1,1.0,,,6,109.0,30.0,4000.0
2700.0,2160.0,3,PASSENGER/GENERAL_LOAD,WOOD,40.0,9.0,2.9,3.45,650.0,12.0,1,3.0,,,8,410.0,330.0,5000.0
75600.0,64800.0,1,PASSENGER/GENERAL_LOAD,NAVAL_STEEL,42.0,7.0,3.8,6.218,697.0,10.0,1,2.0,,,6,270.0,80.0,4400.0
43200.0,50400.0,0,PASSENGER/GENERAL_LOAD,WOOD,34.4,8.2,2.25,2.8,600.0,18.0,2,2.0,,,5,178.0,130.0,1500.0
7200.0,6000.0,0,MOTORBOAT,ALUMINIUM,20.0,3.0,1.0,1.4,600.0,25.0,1,1.0,,,4,63.0,0.0,540.0
28800.0,32400.0,0,MOTORBOAT,ALUMINIUM,16.0,3.0,1.0,1.4,477.0,30.0,1,1.0,,,4,52.0,0.0,1300.0
7200.0,7200.0,0,MOTORBOAT,ALUMINIUM,20.0,3.2,1.2,1.8,600.0,26.0,1,1.0,,,2,30.0,0.0,360.0
2160.0,2160.0,3,PASSENGER/GENERAL_LOAD,WOOD,38.0,8.3,2.7,2.9,480.0,18.0,1,1.0,,,5,260.0,180.0,4000.0
7200.0,7200.0,0,MOTORBOAT,ALUMINIUM,18.6,3.0,1.0,1.4,350.0,21.0,1,1.0,,,3,77.0,0.0,560.0
32400.0,43200.0,0,PASSENGER/GENERAL_LOAD,NAVAL_STEEL,41.5,8.5,1.19,1.65,360.0,12.0,1,2.0,,,6,93.0,173.0,1100.0
64800.0,46800.0,0,PASSENGER/GENERAL_LOAD,WOOD,21.0,5.25,1.8,2.2,250.0,12.0,1,1.0,,,3,60.0,45.0,3300.0
18000.0,14400.0,0,PASSENGER/GENERAL_LOAD,WOOD,20.0,5.5,1.5,2.0,315.0,10.0,1,1.0,,,4,80.0,85.0,425.0
7200.0,7200.0,0,PASSENGER/GENERAL_LOAD,WOOD,10.0,3.0,1.5,2.0,130.0,30.0,1,0.0,,,2,38.0,0.0,440.0
25200.0,18000.0,0,PASSENGER/GENERAL_LOAD,WOOD,19.0,5.3,1.8,2.8,200.0,10.0,2,2.0,,,3,65.0,25.0,550.0
7200.0,4800.0,1,PASSENGER/GENERAL_LOAD,WOOD,24.89,6.3,1.4,2.3,550.0,10.0,3,2.0,,,7,130.0,120.0,6500.0
9600.0,8613.0,2,PASSENGER/GENERAL_LOAD,WOOD,23.0,6.0,1.8,2.3,250.0,12.0,2,2.0,,,9,70.0,80.0,10500.0
43200.0,28800.0,2,PASSENGER/GENERAL_LOAD,WOOD,18.5,5.0,1.4,2.1,140.0,12.0,1,1.0,,,3,10.0,65.0,1400.0
14340.0,12813.0,0,PASSENGER/GENERAL_LOAD,WOOD,26.0,6.0,1.8,2.3,477.0,16.0,1,2.0,,,5,79.0,100.0,14000.0
