Name,MAE,RMSE,MAPE,SMAPE
7_8,6.507,8.236,12.5,12.1
7_9,4.627,5.935,13.3,12.7
7_10,6.412,8.025,12.9,12.3
7_11,6.202,8.079,12.5,12.3
7_12,5.43,6.693,11.3,11.200000000000001
7_13,7.391,8.927,13.100000000000001,12.4
7_14,5.316,6.623,12.5,12.6
7_15,5.82,7.373,9.8,9.5
7_16,3.172,4.101,19.1,17.8
7_17,4.377,5.587,20.3,18.8
7_18,6.66,8.039,11.1,11.200000000000001
7_19,4.694,6.14,16.400000000000002,15.8
7_20,4.844,6.66,15.1,14.399999999999999
7_21,4.36,5.51,16.5,15.5
7_22,8.773,10.582,15.5,15.0
7_23,4.18,4.893,22.400000000000002,21.099999999999998
7_24,5.872,7.783,12.8,12.7
7_25,6.847,8.495,12.2,11.899999999999999
7_26,4.504,5.761,13.5,13.4
7_27,3.442,4.311,29.5,24.3
7_28,7.014,9.095,11.1,11.1
7_29,6.484,8.092,13.900000000000002,13.200000000000001
7_30,3.922,5.04,15.6,14.499999999999998
7_31,5.441,6.695,12.9,12.8
7_32,4.849,6.028,16.2,15.7
7_33,6.656,8.139,14.2,13.700000000000001
7_34,3.378,4.072,20.599999999999998,19.1
7_35,6.293,7.72,14.000000000000002,13.600000000000001
7_36,6.481,8.546,11.5,11.600000000000001
7_37,3.754,4.532,21.4,19.2
7_38,8.089,9.611,14.499999999999998,14.299999999999999
7_39,4.893,5.951,17.8,16.3
7_40,3.652,4.553,17.599999999999998,17.1
7_41,3.557,4.279,28.7,24.5
7_42,4.666,5.946,17.299999999999997,17.4
7_43,5.636,6.829,16.900000000000002,16.0
7_44,3.528,4.586,16.8,16.6
7_45,6.915,8.624,12.3,12.1
7_46,6.065,7.672,14.399999999999999,14.2
7_47,3.039,3.838,24.7,20.7
7_48,5.451,6.777,14.899999999999999,14.799999999999999
7_49,4.201,5.094,23.799999999999997,20.8
7_50,5.753,7.141,12.0,11.899999999999999
8_1,4.128,5.569,14.2,14.399999999999999
8_2,7.53,9.966,10.4,10.2
8_3,6.297,7.756,13.8,13.4
8_4,3.896,4.983,15.6,14.7
8_5,3.741,4.983,16.400000000000002,15.6
8_6,7.914,10.481,10.8,10.7
8_7,9.583,12.066,12.7,13.0
8_8,9.883,12.084,9.9,10.0
8_9,7.709,9.186,12.2,11.899999999999999
8_10,8.217,10.549,8.799999999999999,8.9
8_11,8.457,10.236,9.4,9.6
8_12,8.583,11.281,10.7,10.2
8_13,9.833,12.293,9.700000000000001,9.5
8_14,8.2,10.193,11.0,10.9
8_15,9.605,12.063,8.799999999999999,8.799999999999999
8_16,4.708,6.034,15.4,14.6
8_17,5.045,6.061,13.3,12.8
8_18,9.028,11.396,8.799999999999999,8.5
8_19,6.501,8.146,12.8,12.6
8_20,6.646,8.105,11.700000000000001,11.3
8_21,7.285,8.818,14.099999999999998,14.399999999999999
8_22,9.68,12.072,9.4,9.6
8_23,6.084,7.465,17.4,16.900000000000002
8_24,8.265,10.546,9.9,10.0
8_25,8.935,11.152,9.0,8.9
8_26,7.797,9.56,12.6,12.8
8_27,4.312,5.295,18.5,16.400000000000002
8_28,10.298,13.071,9.700000000000001,9.5
8_29,8.702,10.477,9.9,10.0
8_30,6.221,7.584,13.4,12.7
8_31,6.96,8.786,9.4,9.5
8_32,6.3,8.159,12.4,11.600000000000001
8_33,9.454,12.021,11.600000000000001,11.1
8_34,4.772,5.809,15.6,15.0
8_35,9.222,11.213,11.200000000000001,11.3
8_36,10.187,12.198,10.2,10.4
8_37,4.771,5.891,13.4,13.3
8_38,9.629,12.007,9.1,9.4
8_39,7.374,9.445,13.4,13.4
8_40,4.998,6.159,14.2,13.8
8_41,4.902,6.03,18.3,17.7
8_42,5.776,7.334,12.8,12.5
8_43,7.745,9.537,11.799999999999999,11.600000000000001
8_44,4.671,6.031,12.9,12.8
8_45,8.984,11.249,9.5,9.2
8_46,7.599,9.501,10.299999999999999,10.4
8_47,4.294,5.536,16.0,15.5
8_48,7.838,10.106,12.7,12.2
8_49,5.34,6.392,14.7,14.499999999999998
8_50,7.392,9.493,9.2,9.0
9_1,3.586,4.721,16.3,15.4
9_2,6.703,8.176,10.2,10.299999999999999
9_3,4.961,6.304,12.5,12.5
9_4,4.489,5.808,19.5,18.9
9_5,3.437,4.204,20.1,18.099999999999998
9_6,6.462,8.322,10.7,10.6
9_7,6.627,8.587,10.5,10.4
9_8,8.163,10.242,9.5,9.700000000000001
9_9,6.855,8.515,13.5,13.0
9_10,8.093,10.344,10.4,10.2
9_11,7.452,9.809,9.8,9.9
9_12,7.906,9.974,11.0,10.5
9_13,9.059,10.955,10.6,10.100000000000001
9_14,6.803,8.557,11.1,11.0
9_15,8.507,10.873,8.799999999999999,8.7
9_16,4.188,5.241,16.2,15.4
9_17,6.059,7.65,19.2,17.4
9_18,9.705,11.746,11.0,10.9
9_19,5.806,7.616,13.900000000000002,13.200000000000001
9_20,6.107,7.753,11.4,11.5
9_21,5.335,6.726,12.8,12.2
9_22,8.114,10.526,9.2,9.2
9_23,5.359,6.745,16.900000000000002,17.1
9_24,7.073,8.6,10.0,10.0
9_25,8.861,11.125,10.299999999999999,10.100000000000001
9_26,5.613,6.846,11.0,10.9
9_27,4.103,5.326,18.4,17.299999999999997
9_28,8.605,11.052,9.1,9.1
9_29,8.889,11.54,12.1,12.0
9_30,6.238,7.715,14.399999999999999,14.2
9_31,7.323,9.399,11.5,11.5
9_32,5.533,6.718,12.3,12.0
9_33,8.668,10.922,11.799999999999999,11.600000000000001
9_34,4.342,5.39,16.2,15.7
9_35,8.1,9.754,11.200000000000001,11.3
9_36,8.023,10.601,9.700000000000001,9.700000000000001
9_37,5.554,6.903,17.0,17.299999999999997
9_38,9.004,11.336,10.299999999999999,10.299999999999999
9_39,6.302,7.921,13.100000000000001,13.0
9_40,5.237,6.366,16.8,16.400000000000002
9_41,4.431,5.634,22.7,19.7
9_42,6.026,7.411,15.9,15.4
9_43,7.071,8.764,13.4,13.0
9_44,4.593,5.604,14.899999999999999,14.6
9_45,8.324,10.426,9.8,9.700000000000001
9_46,7.077,8.791,11.4,11.4
9_47,4.204,5.081,18.8,18.099999999999998
9_48,6.442,8.187,11.5,11.600000000000001
9_49,4.743,5.957,16.3,15.1
9_50,7.53,9.455,10.8,10.8
10_1,3.38,4.25,15.1,14.099999999999998
10_2,6.94,8.901,10.9,10.7
10_3,6.027,7.717,15.4,14.299999999999999
10_4,4.794,6.039,19.3,18.6
10_5,4.22,5.317,21.6,19.6
10_6,7.906,9.738,11.799999999999999,11.799999999999999
10_7,5.963,7.659,9.0,9.1
10_8,8.831,11.669,10.4,10.100000000000001
10_9,7.379,9.765,12.7,12.3
10_10,9.224,11.249,11.5,11.3
10_11,8.267,10.452,9.9,10.299999999999999
10_12,9.251,11.816,11.4,11.3
10_13,8.64,10.875,8.799999999999999,8.9
10_14,7.665,9.271,11.700000000000001,11.600000000000001
